City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Season,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,O3_SI,HRI,HRI_Category
Ahmedabad,2015-02-15,113.25,107.96,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475.0,Severe,2015,2,Winter,477.5,139.9111111111111,61.0,87.13749999999999,0.19437500000000002,16.89,217.72,Very Unhealthy
Ahmedabad,2015-02-16,99.7,107.96,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4.0,536.0,Severe,2015,2,Winter,432.3333333333333,139.9111111111111,56.2,91.53750000000001,0.24812500000000004,15.285000000000002,201.23,Very Unhealthy
Ahmedabad,2015-02-17,80.61,107.96,15.96,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52,479.0,Severe,2015,2,Winter,368.7,139.9111111111111,42.08,68.375,0.1995,18.1,174.1,Unhealthy
Ahmedabad,2015-02-18,100.79,107.96,16.24,25.93,41.91,,16.24,43.11,37.43,10.0,32.41,4.04,592.0,Severe,2015,2,Winter,435.9666666666667,139.9111111111111,51.85999999999999,53.8875,0.20299999999999996,18.715,198.21,Unhealthy
Ahmedabad,2015-02-19,107.99,107.96,11.25,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25,427.0,Severe,2015,2,Winter,459.96666666666664,139.9111111111111,60.18,112.15000000000002,0.140625,15.97,213.83,Very Unhealthy
Ahmedabad,2015-02-20,140.29,107.96,33.84,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48,588.0,Severe,2015,2,Winter,500.0,139.9111111111111,72.28,153.82500000000002,0.42300000000000004,20.49,234.89,Very Unhealthy
Ahmedabad,2015-02-22,142.96,107.96,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669.0,Severe,2015,2,Winter,500.0,139.9111111111111,96.42000000000002,78.7,0.5681250000000001,17.385,231.9,Very Unhealthy
Ahmedabad,2015-02-24,118.72,107.96,12.56,32.01,42.56,,12.56,61.54,38.8,16.89,46.52,6.05,411.0,Severe,2015,2,Winter,495.73333333333335,139.9111111111111,64.02,76.925,0.157,19.4,223.93,Very Unhealthy
Ahmedabad,2015-02-25,52.99,107.96,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292.0,Poor,2015,2,Winter,253.26666666666665,139.9111111111111,20.9,40.949999999999996,0.027874999999999997,33.625,128.26,Unhealthy
Ahmedabad,2015-02-26,58.37,107.96,,47.19,,,16.244999999999997,46.78,39.51,,,,384.5,,2015,2,Winter,289.1333333333333,139.9111111111111,94.38,58.475,0.20306249999999998,19.755,155.89,Unhealthy
